fileName,sample,individual,tissue,raw.single.reads
G56229.GTEX-131XG-1126.2,GTEX-131XG-1126-SM-5DUWR,GTEX-131XG,Esophagus - Gastroesophageal Junction,66040000
G59810.GTEX-11NUK-0426.2,GTEX-11NUK-0426-SM-5HL5V,GTEX-11NUK,Nerve - Tibial,83026666
G34761.GTEX-XXEK-0004-SM-4BRWO.1,GTEX-XXEK-0004-SM-4BRWO,GTEX-XXEK,Cells - EBV-transformed lymphocytes,87040000
G60286.GTEX-13N2G-2726.2,GTEX-13N2G-2726-SM-5J1MG,GTEX-13N2G,Adipose - Subcutaneous,100586666
G61828.GTEX-13O3O-0011-R10a.2,GTEX-13O3O-0011-R10a-SM-5LUA9,GTEX-13O3O,Brain - Frontal Cortex (BA9),73360000
G60644.GTEX-139T8-0626.2,GTEX-139T8-0626-SM-5KLZX,GTEX-139T8,Skin - Not Sun Exposed (Suprapubic),73973333
G62320.GTEX-117XS-2926.2,GTEX-117XS-2926-SM-5N9BX,GTEX-117XS,Pituitary,96066666
G60342.GTEX-13O61-2526.2,GTEX-13O61-2526-SM-5J1O8,GTEX-13O61,Artery - Tibial,72760000
G59235.GTEX-12696-2826.3,GTEX-12696-2826-SM-5FQTY,GTEX-12696,Muscle - Skeletal,87386666
G62809.GTEX-13OW7-0011-R5b.3,GTEX-13OW7-0011-R5b-SM-5O9DM,GTEX-13OW7,Brain - Caudate (basal ganglia),149933333
G34724.GTEX-XYKS-0426-SM-4BRW4.1,GTEX-XYKS-0426-SM-4BRW4,GTEX-XYKS,Artery - Aorta,73626666
G62495.GTEX-ZVE1-0526.2,GTEX-ZVE1-0526-SM-5NQ71,GTEX-ZVE1,Muscle - Skeletal,90226666
G26571.GTEX-WYBS-0426-SM-3NM9M.1,GTEX-WYBS-0426-SM-3NM9M,GTEX-WYBS,Artery - Tibial,130013333
G52423.GTEX-ZT9X-1826.1,GTEX-ZT9X-1826-SM-57WDU,GTEX-ZT9X,Muscle - Skeletal,89440000
G64161.GTEX-145LT-1826.1,GTEX-145LT-1826-SM-5QGP4,GTEX-145LT,Adipose - Subcutaneous,60706666
G25718.GTEX-O5YW-0426-SM-3MJHJ.1,GTEX-O5YW-0426-SM-3MJHJ,GTEX-O5YW,Artery - Aorta,111466666
G62321.GTEX-117YW-2226.2,GTEX-117YW-2226-SM-5N9DB,GTEX-117YW,Stomach,91773333
G60273.GTEX-133LE-1826.2,GTEX-133LE-1826-SM-5J1MV,GTEX-133LE,Skin - Sun Exposed (Lower leg),101320000
G34384.GTEX-XPT6-0226-SM-4B65L.3,GTEX-XPT6-0226-SM-4B65L,GTEX-XPT6,Heart - Atrial Appendage,111386666
G48584.GTEX-XQ3S-1626.1,GTEX-XQ3S-1626-SM-4WAYN,GTEX-XQ3S,Adipose - Subcutaneous,68693333
G25657.GTEX-WOFM-1326-SM-3MJFR.1,GTEX-WOFM-1326-SM-3MJFR,GTEX-WOFM,Muscle - Skeletal,183360000
G22929.GTEX-TMZS-0006.1,GTEX-TMZS-0006-SM-3DB8G,GTEX-TMZS,Whole Blood,82840000
G19416.GTEX-S95S-1526-SM-2XCDH.1,GTEX-S95S-1526-SM-2XCDH,GTEX-S95S,Nerve - Tibial,101240000
G58524.GTEX-1313W-1126.2,GTEX-1313W-1126-SM-5EQ5U,GTEX-1313W,Heart - Atrial Appendage,81506666
G65579.GTEX-WFG7-2026.3,GTEX-WFG7-2026-SM-5SI7P,GTEX-WFG7,Skin - Not Sun Exposed (Suprapubic),84200000
G35309.GTEX-U3ZN-1726-SM-4DXUQ.8,GTEX-U3ZN-1726-SM-4DXUQ,GTEX-U3ZN,Esophagus - Mucosa,78146666
G26690.GTEX-X261-0226-SM-3NMD2.1,GTEX-X261-0226-SM-3NMD2,GTEX-X261,Adipose - Subcutaneous,109160000
G49513.GTEX-ZVTK-0226.2,GTEX-ZVTK-0226-SM-51MRG,GTEX-ZVTK,Skin - Not Sun Exposed (Suprapubic),97106666
G23376.GTEX-V1D1-2426-SM-3GAER.1,GTEX-V1D1-2426-SM-3GAER,GTEX-V1D1,Muscle - Skeletal,87453333
G56210.GTEX-13111-1426.2,GTEX-13111-1426-SM-5DUW3,GTEX-13111,Small Intestine - Terminal Ileum,71746666
G45991.GTEX-ZAB4-0011-R7a.2,GTEX-ZAB4-0011-R7a-SM-4SOKE,GTEX-ZAB4,Brain - Putamen (basal ganglia),64920000
G60894.GTEX-13O3P-1126.2,GTEX-13O3P-1126-SM-5L3FG,GTEX-13O3P,Artery - Aorta,65360000
G53090.GTEX-11GSO-2426.3,GTEX-11GSO-2426-SM-5A5LY,GTEX-11GSO,Skin - Sun Exposed (Lower leg),73866666
G59718.GTEX-11EQ9-1026.2,GTEX-11EQ9-1026-SM-5H134,GTEX-11EQ9,Pancreas,98360000
G35602.GTEX-X5EB-1926-SM-4E3IW.4,GTEX-X5EB-1926-SM-4E3IW,GTEX-X5EB,Skin - Not Sun Exposed (Suprapubic),79000000
G34513.GTEX-XUW1-1726-SM-4BOOZ.7,GTEX-XUW1-1726-SM-4BOOZ,GTEX-XUW1,Pancreas,56640000
G60805.GTEX-13O3Q-2326.2,GTEX-13O3Q-2326-SM-5KM3G,GTEX-13O3Q,Adipose - Subcutaneous,73333333
G61801.GTEX-11TUW-0526.2,GTEX-11TUW-0526-SM-5LU9A,GTEX-11TUW,Lung,68333333
G61132.GTEX-YECK-1726.3,GTEX-YECK-1726-SM-5IFI3,GTEX-YECK,Esophagus - Muscularis,91613333
G18456.GTEX-P4QS-1826-SM-2S1NI.1,GTEX-P4QS-1826-SM-2S1NI,GTEX-P4QS,Artery - Tibial,94480000
G32443.GTEX-QV44-0008-SM-447AX.2,GTEX-QV44-0008-SM-447AX,GTEX-QV44,Cells - Transformed fibroblasts,65986666
G25955.GTEX-WWYW-0005-SM-3NB3K.2,GTEX-WWYW-0005-SM-3NB3K,GTEX-WWYW,Whole Blood,117586666
G34020.GTEX-S4Q7-0526-SM-4AD5N.3,GTEX-S4Q7-0526-SM-4AD5N,GTEX-S4Q7,Esophagus - Muscularis,77373333
G35316.GTEX-U3ZM-1126-SM-4DXUB.7,GTEX-U3ZM-1126-SM-4DXUB,GTEX-U3ZM,Colon - Transverse,70066666
G60046.GTEX-13OVL-2926.1,GTEX-13OVL-2926-SM-5IFG3,GTEX-13OVL,Minor Salivary Gland,77133333
G62421.GTEX-13CZV-0011-R11b.2,GTEX-13CZV-0011-R11b-SM-5N9FN,GTEX-13CZV,Brain - Cerebellar Hemisphere,107426666
G59940.GTEX-ZAK1-0726.2,GTEX-ZAK1-0726-SM-5HL8Q,GTEX-ZAK1,Thyroid,72146666
G60198.GTEX-13FTW-2026.2,GTEX-13FTW-2026-SM-5IJE2,GTEX-13FTW,Small Intestine - Terminal Ileum,119906666
G63920.GTEX-144GN-1626.2,GTEX-144GN-1626-SM-5Q5BU,GTEX-144GN,Testis,71426666
G32758.GTEX-RU72-3126-SM-46MUB.2,GTEX-RU72-3126-SM-46MUB,GTEX-RU72,Pituitary,61426666
G34700.GTEX-XV7Q-1026-SM-4BRVR.1,GTEX-XV7Q-1026-SM-4BRVR,GTEX-XV7Q,Esophagus - Muscularis,82333333
G33948.GTEX-PVOW-0008-SM-48TE8.1,GTEX-PVOW-0008-SM-48TE8,GTEX-PVOW,Cells - Transformed fibroblasts,65013333
G60685.GTEX-1399S-0826.2,GTEX-1399S-0826-SM-5KM23,GTEX-1399S,Heart - Atrial Appendage,73613333
G53027.GTEX-ZVZO-0526.3,GTEX-ZVZO-0526-SM-5A5LB,GTEX-ZVZO,Nerve - Tibial,81306666
G22943.GTEX-U8XE-0626-SM-3DB8U.1,GTEX-U8XE-0626-SM-3DB8U,GTEX-U8XE,Artery - Tibial,87746666
G32931.GTEX-RWS6-0726-SM-47JXI.3,GTEX-RWS6-0726-SM-47JXI,GTEX-RWS6,Esophagus - Muscularis,75720000
G15466.GTEX-N7MS-0007.2,GTEX-N7MS-0007-SM-2D7W1,GTEX-N7MS,Whole Blood,102146666
G59158.GTEX-11XUK-0726.6,GTEX-11XUK-0726-SM-5EQMX,GTEX-11XUK,Esophagus - Muscularis,77973333
G64380.GTEX-Y8LW-1426.1,GTEX-Y8LW-1426-SM-5RQJJ,GTEX-Y8LW,Vagina,65840000
G60927.GTEX-13PLJ-0126.2,GTEX-13PLJ-0126-SM-5L3HU,GTEX-13PLJ,Adipose - Subcutaneous,69520000
G61846.GTEX-145LS-0426.2,GTEX-145LS-0426-SM-5LU8M,GTEX-145LS,Artery - Tibial,73160000
G19361.GTEX-S341-1826-SM-3K2AB.1,GTEX-S341-1826-SM-3K2AB,GTEX-S341,Muscle - Skeletal,70466666
G62378.GTEX-11O72-2026.2,GTEX-11O72-2026-SM-5N9G8,GTEX-11O72,Esophagus - Gastroesophageal Junction,92386666
G64031.GTEX-145MO-0526.1,GTEX-145MO-0526-SM-5Q5F7,GTEX-145MO,Nerve - Tibial,79053333
G52573.GTEX-ZVZP-2426.2,GTEX-ZVZP-2426-SM-59HKJ,GTEX-ZVZP,Skin - Sun Exposed (Lower leg),70653333
G34036.GTEX-S4Z8-0526-SM-4AD4T.3,GTEX-S4Z8-0526-SM-4AD4T,GTEX-S4Z8,Liver,78013333
G18633.GTEX-RU72-0011-R7A-SM-2TF5U.1,GTEX-RU72-0011-R7A-SM-2TF5U,GTEX-RU72,Brain - Putamen (basal ganglia),93906666
G60431.GTEX-13PL7-1726.3,GTEX-13PL7-1726-SM-5J2NX,GTEX-13PL7,Lung,80040000
G59956.GTEX-ZAJG-2926.2,GTEX-ZAJG-2926-SM-5HL8P,GTEX-ZAJG,Vagina,64640000
G32739.GTEX-RU1J-0426-SM-46MUK.2,GTEX-RU1J-0426-SM-46MUK,GTEX-RU1J,Esophagus - Muscularis,60413333
G25927.GTEX-WY7C-2126-SM-3NB2R.2,GTEX-WY7C-2126-SM-3NB2R,GTEX-WY7C,Skin - Not Sun Exposed (Suprapubic),127693333
G60965.GTEX-13OW8-1826.2,GTEX-13OW8-1826-SM-5L3H1,GTEX-13OW8,Artery - Aorta,75133333
G60484.GTEX-13IVO-2426.2,GTEX-13IVO-2426-SM-5K7V9,GTEX-13IVO,Adipose - Visceral (Omentum),92200000
G62538.GTEX-13FTY-0005.2,GTEX-13FTY-0005-SM-5NQ78,GTEX-13FTY,Whole Blood,66440000
G59761.GTEX-1128S-2426.2,GTEX-1128S-2426-SM-5H11B,GTEX-1128S,Muscle - Skeletal,106160000
G65251.GTEX-14BIM-0011-R5b.2,GTEX-14BIM-0011-R5b-SM-5S2RM,GTEX-14BIM,Brain - Caudate (basal ganglia),58413333
G62765.GTEX-13SLW-0011-R6a.3,GTEX-13SLW-0011-R6a-SM-5O9BH,GTEX-13SLW,Brain - Nucleus accumbens (basal ganglia),133960000
G25672.GTEX-WVLH-0626-SM-3MJG7.1,GTEX-WVLH-0626-SM-3MJG7,GTEX-WVLH,Thyroid,97946666
G35328.GTEX-U412-1826.8,GTEX-U412-1826-SM-4DXTJ,GTEX-U412,Breast - Mammary Tissue,63186666
G32306.GTEX-PWCY-0326.1,GTEX-PWCY-0326-SM-43IRU,GTEX-PWCY,Artery - Aorta,68320000
G33881.GTEX-PVOW-2726-SM-48TCA.1,GTEX-PVOW-2726-SM-48TCA,GTEX-PVOW,Pituitary,76506666
G62152.GTEX-13OW5-0126.2,GTEX-13OW5-0126-SM-5MR3A,GTEX-13OW5,Skin - Sun Exposed (Lower leg),93373333
G26627.GTEX-PVOW-0006-SM-3NMB8.1,GTEX-PVOW-0006-SM-3NMB8,GTEX-PVOW,Whole Blood,122000000
G63165.GTEX-139T6-1626.2,GTEX-139T6-1626-SM-5PNYZ,GTEX-139T6,Breast - Mammary Tissue,98853333
G63959.GTEX-117XS-0008.1,GTEX-117XS-0008-SM-5Q5DQ,GTEX-117XS,Cells - Transformed fibroblasts,107720000
G26528.GTEX-S341-0006-SM-3NM8D.1,GTEX-S341-0006-SM-3NM8D,GTEX-S341,Whole Blood,109426666
G42371.GTEX-XBEC-1826.2,GTEX-XBEC-1826-SM-4QASN,GTEX-XBEC,Adipose - Visceral (Omentum),66773333
G59882.GTEX-Z9EW-0526.2,GTEX-Z9EW-0526-SM-5HL8S,GTEX-Z9EW,Esophagus - Mucosa,67680000
G59146.GTEX-11WQK-1026.6,GTEX-11WQK-1026-SM-5EQLX,GTEX-11WQK,Skin - Not Sun Exposed (Suprapubic),83346666
G45995.GTEX-ZAB4-0011-R11a.2,GTEX-ZAB4-0011-R11a-SM-4SOKI,GTEX-ZAB4,Brain - Cerebellar Hemisphere,80320000
G64396.GTEX-14C38-2126.1,GTEX-14C38-2126-SM-5RQJO,GTEX-14C38,Esophagus - Mucosa,62440000
G59887.GTEX-ZA64-0326.2,GTEX-ZA64-0326-SM-5HL8T,GTEX-ZA64,Lung,69866666
G60326.GTEX-13OW5-0826.3,GTEX-13OW5-0826-SM-5J1NE,GTEX-13OW5,Artery - Aorta,124706666
G63998.GTEX-14A6H-0226.1,GTEX-14A6H-0226-SM-5Q5DX,GTEX-14A6H,Heart - Left Ventricle,102026666
G35248.GTEX-T2IS-0008-SM-4DM75.1,GTEX-T2IS-0008-SM-4DM75,GTEX-T2IS,Cells - Transformed fibroblasts,68453333
G58520.GTEX-1313W-0626.2,GTEX-1313W-0626-SM-5EQ4H,GTEX-1313W,Skin - Not Sun Exposed (Suprapubic),85586666
G53799.GTEX-11UD1-0011-R3a.2,GTEX-11UD1-0011-R3a-SM-5BC6S,GTEX-11UD1,Brain - Anterior cingulate cortex (BA24),85053333
G35317.GTEX-U3ZM-1626-SM-4DXSK.7,GTEX-U3ZM-1626-SM-4DXSK,GTEX-U3ZM,Testis,68040000
G58283.GTEX-ZTX8-1026.2,GTEX-ZTX8-1026-SM-5EGHD,GTEX-ZTX8,Prostate,66373333
G49443.GTEX-Y3IK-0226.2,GTEX-Y3IK-0226-SM-51MRJ,GTEX-Y3IK,Adrenal Gland,130666666
G32787.GTEX-X62O-2226-SM-46MW3.2,GTEX-X62O-2226-SM-46MW3,GTEX-X62O,Esophagus - Mucosa,64826666
G35329.GTEX-U4B1-0926-SM-4DXUV.7,GTEX-U4B1-0926-SM-4DXUV,GTEX-U4B1,Esophagus - Muscularis,71386666
G62567.GTEX-ZUA1-0326.2,GTEX-ZUA1-0326-SM-5NQA3,GTEX-ZUA1,Muscle - Skeletal,104400000
G63952.GTEX-13PVR-1826.2,GTEX-13PVR-1826-SM-5Q5CC,GTEX-13PVR,Esophagus - Mucosa,65319999
G18080.GTEX-OOBK-0126-SM-2YUND.1,GTEX-OOBK-0126-SM-2YUND,GTEX-OOBK,Skin - Sun Exposed (Lower leg),89560000
G23360.GTEX-UPK5-1826-SM-3GAEB.1,GTEX-UPK5-1826-SM-3GAEB,GTEX-UPK5,Adipose - Visceral (Omentum),94253333
G58418.GTEX-13111-1726.2,GTEX-13111-1726-SM-5EGJZ,GTEX-13111,Adipose - Subcutaneous,84120000
G49049.GTEX-ZF29-2226.1,GTEX-ZF29-2226-SM-4WWB9,GTEX-ZF29,Adipose - Subcutaneous,114413333
G40882.GTEX-W5WG-1026-SM-4LMIF.3,GTEX-W5WG-1026-SM-4LMIF,GTEX-W5WG,Vagina,77160000
G58347.GTEX-132Q8-1826.2,GTEX-132Q8-1826-SM-5EGIY,GTEX-132Q8,Esophagus - Mucosa,79640000
G56126.GTEX-YFC4-0826.2,GTEX-YFC4-0826-SM-5CVM1,GTEX-YFC4,Nerve - Tibial,74053333
G45982.GTEX-YFC4-0011-R10a.2,GTEX-YFC4-0011-R10a-SM-4SOK5,GTEX-YFC4,Brain - Frontal Cortex (BA9),60240000
G49329.GTEX-ZPU1-0626.2,GTEX-ZPU1-0626-SM-4YCDM,GTEX-ZPU1,Heart - Left Ventricle,94933333
G63895.GTEX-12126-0626.2,GTEX-12126-0626-SM-5Q5AQ,GTEX-12126,Nerve - Tibial,61466666
G35610.GTEX-ZDTT-0008.4,GTEX-ZDTT-0008-SM-4E3K5,GTEX-ZDTT,Cells - Transformed fibroblasts,102240000
G63973.GTEX-144GL-3026.1,GTEX-144GL-3026-SM-5Q5CW,GTEX-144GL,Brain - Cortex,106693333
G23334.GTEX-R53T-0005-SM-3GADK.1,GTEX-R53T-0005-SM-3GADK,GTEX-R53T,Whole Blood,95080000
G58375.GTEX-ZAKK-0526.2,GTEX-ZAKK-0526-SM-5EGHC,GTEX-ZAKK,Nerve - Tibial,86266666
G34286.GTEX-XGQ4-0326-SM-4GIEE.2,GTEX-XGQ4-0326-SM-4GIEE,GTEX-XGQ4,Heart - Left Ventricle,70106666
G18077.GTEX-NPJ7-1726-SM-2YUNA.1,GTEX-NPJ7-1726-SM-2YUNA,GTEX-NPJ7,Nerve - Tibial,107106666
G26533.GTEX-SIU7-0526-SM-3NM8I.1,GTEX-SIU7-0526-SM-3NM8I,GTEX-SIU7,Lung,112453333
G53044.GTEX-11EM3-1126.3,GTEX-11EM3-1126-SM-5A5KM,GTEX-11EM3,Adipose - Visceral (Omentum),88480000
G33605.GTEX-QXCU-0008-SM-48FCH.4,GTEX-QXCU-0008-SM-48FCH,GTEX-QXCU,Cells - Transformed fibroblasts,68573333
G25188.GTEX-WI4N-2726-SM-3LK7Y.1,GTEX-WI4N-2726-SM-3LK7Y,GTEX-WI4N,Skin - Not Sun Exposed (Suprapubic),83320000
G60683.GTEX-13FH7-0626.2,GTEX-13FH7-0626-SM-5KLZD,GTEX-13FH7,Esophagus - Gastroesophageal Junction,89466666
G41467.GTEX-WRHK-0226.2,GTEX-WRHK-0226-SM-4MVOH,GTEX-WRHK,Pancreas,75960000
G61909.GTEX-12WSD-0011-R2a.2,GTEX-12WSD-0011-R2a-SM-5LZWB,GTEX-12WSD,Brain - Substantia nigra,67280000
G58296.GTEX-1122O-1826.2,GTEX-1122O-1826-SM-5EGIP,GTEX-1122O,Esophagus - Gastroesophageal Junction,68786666
G34403.GTEX-XPT6-2226-SM-4B66R.3,GTEX-XPT6-2226-SM-4B66R,GTEX-XPT6,Artery - Tibial,105133333
G61197.GTEX-Y9LG-1926.3,GTEX-Y9LG-1926-SM-5IFHY,GTEX-Y9LG,Muscle - Skeletal,102080000
G32786.GTEX-X585-2426-SM-46MW2.2,GTEX-X585-2426-SM-46MW2,GTEX-X585,Skin - Not Sun Exposed (Suprapubic),76320000
G34298.GTEX-XLM4-2326.3,GTEX-XLM4-2326-SM-4TT2D,GTEX-XLM4,Esophagus - Mucosa,139960000
G18386.GTEX-Q2AI-1326-SM-2S1PL.1,GTEX-Q2AI-1326-SM-2S1PL,GTEX-Q2AI,Skin - Sun Exposed (Lower leg),59720000
G33941.GTEX-P78B-0008-SM-48TE1.1,GTEX-P78B-0008-SM-48TE1,GTEX-P78B,Cells - Transformed fibroblasts,89373333
G60548.GTEX-132AR-2126.2,GTEX-132AR-2126-SM-5K7XG,GTEX-132AR,Artery - Aorta,68346666
G46442.GTEX-Y111-1026.1,GTEX-Y111-1026-SM-4TT22,GTEX-Y111,Lung,113173333
G65136.GTEX-14DAR-1926.2,GTEX-14DAR-1926-SM-5S2NQ,GTEX-14DAR,Adipose - Subcutaneous,71786666
G60260.GTEX-ZE9C-2326.3,GTEX-ZE9C-2326-SM-5J1NT,GTEX-ZE9C,Muscle - Skeletal,78933333
G64423.GTEX-14C5O-2926.1,GTEX-14C5O-2926-SM-5RQI1,GTEX-14C5O,Brain - Cerebellum,75146666
G34362.GTEX-XMK1-1326-SM-4B65Q.3,GTEX-XMK1-1326-SM-4B65Q,GTEX-XMK1,Esophagus - Mucosa,98986666
G52514.GTEX-11OF3-1826.3,GTEX-11OF3-1826-SM-5987N,GTEX-11OF3,Testis,118733333
G62236.GTEX-13PVQ-0126.2,GTEX-13PVQ-0126-SM-5SIB4,GTEX-13PVQ,Skin - Sun Exposed (Lower leg),99986666
G60284.GTEX-13FTW-2226.2,GTEX-13FTW-2226-SM-5J1OH,GTEX-13FTW,Artery - Tibial,87226666
G60896.GTEX-13O3O-2526.2,GTEX-13O3O-2526-SM-5L3DR,GTEX-13O3O,Colon - Transverse,64146666
G32968.GTEX-XBED-0226-SM-47JY8.3,GTEX-XBED-0226-SM-47JY8,GTEX-XBED,Pancreas,81053333
G56145.GTEX-ZAB5-0926.2,GTEX-ZAB5-0926-SM-5CVMV,GTEX-ZAB5,Esophagus - Mucosa,80053333
G33646.GTEX-R55G-0926-SM-48FDN.4,GTEX-R55G-0926-SM-48FDN,GTEX-R55G,Esophagus - Muscularis,68440000
G64008.GTEX-1477Z-2126.1,GTEX-1477Z-2126-SM-5Q5CM,GTEX-1477Z,Colon - Sigmoid,111666666
G59673.GTEX-ZXES-1126.3,GTEX-ZXES-1126-SM-5GZXN,GTEX-ZXES,Esophagus - Mucosa,89840000
G33893.GTEX-PWO3-1526-SM-48TCM.1,GTEX-PWO3-1526-SM-48TCM,GTEX-PWO3,Skin - Sun Exposed (Lower leg),68866666
G35577.GTEX-X4EO-2726-SM-4E3HS.4,GTEX-X4EO-2726-SM-4E3HS,GTEX-X4EO,Colon - Sigmoid,91840000
G18707.GTEX-RN64-0126-SM-2TC68.2,GTEX-RN64-0126-SM-2TC68,GTEX-RN64,Skin - Sun Exposed (Lower leg),101546666
G35632.GTEX-OHPL-0008-SM-4E3I9.4,GTEX-OHPL-0008-SM-4E3I9,GTEX-OHPL,Cells - Transformed fibroblasts,121240000
G63866.GTEX-11DXW-0008.2,GTEX-11DXW-0008-SM-5Q59V,GTEX-11DXW,Cells - Transformed fibroblasts,85960000
G52629.GTEX-12WSB-0626.2,GTEX-12WSB-0626-SM-59HJO,GTEX-12WSB,Breast - Mammary Tissue,103546666
G23323.GTEX-Q734-2226-SM-3GAD9.1,GTEX-Q734-2226-SM-3GAD9,GTEX-Q734,Artery - Tibial,132826666
G58291.GTEX-111CU-0826.2,GTEX-111CU-0826-SM-5EGIJ,GTEX-111CU,Esophagus - Gastroesophageal Junction,71960000
G33985.GTEX-S341-1026-SM-4AD71.3,GTEX-S341-1026-SM-4AD71,GTEX-S341,Uterus,66266666
G60675.GTEX-1399U-0826.2,GTEX-1399U-0826-SM-5KM1P,GTEX-1399U,Lung,113960000
G63108.GTEX-1477Z-0011-R5b.2,GTEX-1477Z-0011-R5b-SM-5PNUO,GTEX-1477Z,Brain - Caudate (basal ganglia),82466666
G42499.GTEX-QV44-0326.2,GTEX-QV44-0326-SM-4R1KD,GTEX-QV44,Liver,57880000
G25915.GTEX-OXRK-0526-SM-3NB2F.2,GTEX-OXRK-0526-SM-3NB2F,GTEX-OXRK,Artery - Tibial,125573333
G62243.GTEX-14BIM-2226.2,GTEX-14BIM-2226-SM-5SI8Y,GTEX-14BIM,Uterus,88613333
G60081.GTEX-132Q8-0011-R5a.2,GTEX-132Q8-0011-R5a-SM-5IJDM,GTEX-132Q8,Brain - Caudate (basal ganglia),84293333
G35319.GTEX-U3ZM-0326-SM-4DXUJ.8,GTEX-U3ZM-0326-SM-4DXUJ,GTEX-U3ZM,Artery - Aorta,74533333
G41516.GTEX-WVJS-0126.2,GTEX-WVJS-0126-SM-4MVOT,GTEX-WVJS,Skin - Sun Exposed (Lower leg),72493333
G33826.GTEX-Q2AG-0326-SM-48U1O.3,GTEX-Q2AG-0326-SM-48U1O,GTEX-Q2AG,Breast - Mammary Tissue,67066666
G20925.GTEX-T5JC-0011-R1A-SM-32PM6.2,GTEX-T5JC-0011-R1A-SM-32PM6,GTEX-T5JC,Brain - Hippocampus,53760000
G62775.GTEX-13YAN-0626.3,GTEX-13YAN-0626-SM-5O9BQ,GTEX-13YAN,Nerve - Tibial,103453333
G65147.GTEX-14E6C-2426.2,GTEX-14E6C-2426-SM-5S2NF,GTEX-14E6C,Skin - Not Sun Exposed (Suprapubic),76293333
G65214.GTEX-14BMV-2426.2,GTEX-14BMV-2426-SM-5S2PP,GTEX-14BMV,Colon - Transverse,66400000
G33767.GTEX-QDT8-2526-SM-48TYX.3,GTEX-QDT8-2526-SM-48TYX,GTEX-QDT8,Vagina,72253333
G62275.GTEX-11DXZ-2426.2,GTEX-11DXZ-2426-SM-5N9DT,GTEX-11DXZ,Muscle - Skeletal,77560000
G18390.GTEX-QEG5-0626-SM-2S1PP.1,GTEX-QEG5-0626-SM-2S1PP,GTEX-QEG5,Artery - Tibial,99653333
G59567.GTEX-11ONC-2426.2,GTEX-11ONC-2426-SM-5GU7H,GTEX-11ONC,Muscle - Skeletal,64333333
G26720.GTEX-X4EO-0326-SM-3P5YO.2,GTEX-X4EO-0326-SM-3P5YO,GTEX-X4EO,Skin - Sun Exposed (Lower leg),109400000
G34463.GTEX-XQ3S-2526-SM-4BOOG.7,GTEX-XQ3S-2526-SM-4BOOG,GTEX-XQ3S,Prostate,57453333
G60457.GTEX-131XE-1626.2,GTEX-131XE-1626-SM-5K7VO,GTEX-131XE,Skin - Not Sun Exposed (Suprapubic),92626666
G59701.GTEX-1122O-1326.2,GTEX-1122O-1326-SM-5H11F,GTEX-1122O,Small Intestine - Terminal Ileum,81346666
G65652.GTEX-11ZUS-0008.2,GTEX-11ZUS-0008-SM-5S2UO,GTEX-11ZUS,Cells - Transformed fibroblasts,101920000
G56261.GTEX-131XH-0011-R1a.2,GTEX-131XH-0011-R1a-SM-5DUWA,GTEX-131XH,Brain - Hippocampus,77160000
G62157.GTEX-13OW5-3126.2,GTEX-13OW5-3126-SM-5MR3Y,GTEX-13OW5,Brain - Cerebellum,95120000
G33656.GTEX-RNOR-2426-SM-48FDY.4,GTEX-RNOR-2426-SM-48FDY,GTEX-RNOR,Pituitary,62600000
G41178.GTEX-WHWD-1526.5,GTEX-WHWD-1526-SM-4OORV,GTEX-WHWD,Colon - Sigmoid,100906666
G62961.GTEX-132NY-1026.3,GTEX-132NY-1026-SM-5P9IY,GTEX-132NY,Thyroid,90800000
G49177.GTEX-ZPU1-2726.1,GTEX-ZPU1-2726-SM-4WWFT,GTEX-ZPU1,Artery - Tibial,106053333
G34422.GTEX-XPVG-2226-SM-4B65U.3,GTEX-XPVG-2226-SM-4B65U,GTEX-XPVG,Testis,104706666
G22926.GTEX-U3ZN-0226-SM-3DB8D.1,GTEX-U3ZN-0226-SM-3DB8D,GTEX-U3ZN,Liver,146280000
G59632.GTEX-1117F-3026.3,GTEX-1117F-3026-SM-5GZYU,GTEX-1117F,Minor Salivary Gland,70173333
G18068.GTEX-O5YW-1826-SM-2YUN2.1,GTEX-O5YW-1826-SM-2YUN2,GTEX-O5YW,Artery - Tibial,87773333
G35235.GTEX-T5JW-1126-SM-4DM5V.1,GTEX-T5JW-1126-SM-4DM5V,GTEX-T5JW,Colon - Transverse,71080000
G65096.GTEX-11TT1-0004.2,GTEX-11TT1-0004-SM-5S2NT,GTEX-11TT1,Cells - EBV-transformed lymphocytes,66093333
G60549.GTEX-139TT-0126.2,GTEX-139TT-0126-SM-5K7Y5,GTEX-139TT,Skin - Sun Exposed (Lower leg),75546666
G62702.GTEX-144FL-0326.2,GTEX-144FL-0326-SM-5O99O,GTEX-144FL,Muscle - Skeletal,95186666
G58484.GTEX-1269C-2626.2,GTEX-1269C-2626-SM-5EQ5C,GTEX-1269C,Muscle - Skeletal,80346666
G65614.GTEX-14C5O-0126.3,GTEX-14C5O-0126-SM-5SI6N,GTEX-14C5O,Skin - Sun Exposed (Lower leg),90626666
G23474.GTEX-WEY5-0526-SM-3GIKZ.1,GTEX-WEY5-0526-SM-3GIKZ,GTEX-WEY5,Thyroid,87146666
G62144.GTEX-13N2G-0011-R1b.2,GTEX-13N2G-0011-R1b-SM-5MR3G,GTEX-13N2G,Brain - Hippocampus,90426666
G56163.GTEX-YJ8O-1026.3,GTEX-YJ8O-1026-SM-5CVM5,GTEX-YJ8O,Ovary,99506666
